LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	156
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 16:40:21	0                 
Time	Ampl
0	-117.958
3.05176	-58.0797
6.10352	-62.0015
9.15527	-59.0748
12.207	-61.8887
15.2588	-59.5945
18.3105	-60.1754
21.3623	-59.9768
24.4141	-58.6214
27.4658	-59.6165
30.5176	-58.8542
33.5693	-60.0626
36.6211	-58.9179
39.6729	-60.5896
42.7246	-60.9842
45.7764	-59.5577
48.8281	-57.6335
51.8799	-58.0968
54.9316	-56.9742
57.9834	-58.9621
61.0352	-57.788
64.0869	-59.2439
67.1387	-53.8735
70.1904	-58.0037
73.2422	-56.2609
76.2939	-55.9545
79.3457	-57.56
82.3975	-56.0673
85.4492	-61.7956
88.501	-60.0773
91.5527	-61.2808
94.6045	-62.3544
97.6562	-58.2635
100.708	-56.5747
103.76	-60.4425
106.812	-60.543
109.863	-59.7562
112.915	-60.0651
115.967	-60.4916
119.019	-59.0895
122.07	-60.2366
125.122	-58.9424
128.174	-60.4989
131.226	-59.6092
134.277	-61.3053
137.329	-60.0798
140.381	-59.6092
143.433	-56.6065
146.484	-59.0037
149.536	-58.7954
152.588	-59.9474
155.64	-58.6189
158.691	-60.9426
161.743	-59.494
164.795	-60.5038
167.847	-60.4327
170.898	-59.9842
173.95	-60.1925
177.002	-60.5553
180.054	-60.8617
183.105	-61.6068
186.157	-59.168
189.209	-58.8983
192.261	-60.7857
195.312	-58.842
198.364	-60.6166
201.416	-60.32
204.468	-60.8568
207.52	-61.3593
210.571	-59.8224
213.623	-61.7882
216.675	-59.1729
219.727	-60.2023
222.778	-60.092
225.83	-59.4792
228.882	-59.2464
231.934	-59.2979
234.985	-60.0994
238.037	-60.5528
241.089	-61.3053
244.141	-59.918
247.192	-60.0136
250.244	-59.7048
253.296	-58.3983
256.348	-59.8861
259.399	-61.2147
262.451	-59.9768
265.503	-61.3029
268.555	-58.9964
271.606	-61.4254
274.658	-58.1262
277.71	-59.4057
280.762	-59.8641
283.813	-59.5503
286.865	-60.668
289.917	-59.945
292.969	-59.1827
296.021	-59.1238
299.072	-59.6459
302.124	-59.3542
305.176	-57.7095
308.228	-60.0406
311.279	-60.2783
314.331	-59.744
317.383	-60.4278
320.435	-59.7709
323.486	-59.5136
326.538	-59.8616
329.59	-59.4008
332.642	-61.2465
335.693	-59.2807
338.745	-59.7513
341.797	-61.4867
344.849	-59.1827
347.9	-59.5038
350.952	-59.842
354.004	-59.342
357.056	-59.3788
360.107	-59.4891
363.159	-60.8029
366.211	-59.0454
369.263	-60.5136
372.314	-59.3003
375.366	-58.7807
378.418	-59.0773
381.47	-60.6043
384.521	-62.7883
387.573	-58.2978
390.625	-60.1974
393.677	-58.8248
396.729	-59.7685
399.78	-60.0553
402.832	-59.2096
405.884	-59.0135
408.936	-61.3176
411.987	-58.5184
415.039	-59.9744
418.091	-57.5379
421.143	-60.4891
424.194	-58.2904
427.246	-62.4917
430.298	-59.2832
433.35	-61.0259
436.401	-60.3837
439.453	-59.5675
442.505	-58.9253
445.557	-59.516
448.608	-59.6827
451.66	-58.9547
454.712	-60.4131
457.764	-60.0504
460.815	-59.2464
463.867	-60.1778
466.919	-60.0259
469.971	-60.6019
473.022	-58.4939
