LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,156
Segment,TrigTime,TimeSinceSegment1
#1,16-Jul-2010 18:03:14,0                 
Time,Ampl
0,-117.958
61.0352,-42.1693
122.07,-43.466
183.105,-45.8853
244.141,-42.9978
305.176,-39.7108
366.211,-40.9217
427.246,-40.7722
488.281,-43.4709
549.316,-52.1822
610.352,-53.1553
671.387,-54.2142
732.422,-55.8785
793.457,-54.7804
854.492,-56.5599
915.527,-52.3195
976.563,-50.8022
1037.6,-43.9807
1098.63,-52.2361
1159.67,-57.0183
1220.7,-56.2487
1281.74,-56.4545
1342.77,-56.4594
1403.81,-58.3787
1464.84,-59.2611
1525.88,-58.9645
1586.91,-59.3935
1647.95,-58.4253
1708.98,-56.582
1770.02,-55.9545
1831.05,-58.8591
1892.09,-57.5674
1953.13,-59.0993
2014.16,-59.6582
2075.2,-59.7954
2136.23,-59.2611
2197.27,-59.6606
2258.3,-59.8102
2319.34,-59.7293
2380.37,-60.2881
2441.41,-59.5601
2502.44,-60.2121
2563.48,-60.3764
2624.51,-59.9254
2685.55,-60.0675
2746.58,-60.0406
2807.62,-59.266
2868.65,-58.2684
2929.69,-59.5503
2990.72,-59.668
3051.76,-59.9915
3112.79,-59.9008
3173.83,-60.1705
3234.86,-60.4205
3295.9,-60.3764
3356.93,-59.7954
3417.97,-60.0577
3479,-59.3395
3540.04,-59.6876
3601.07,-59.3395
3662.11,-59.5405
3723.14,-59.592
3784.18,-60.3396
3845.21,-60.2244
3906.25,-60.1484
3967.29,-59.6851
4028.32,-59.891
4089.36,-59.9327
4150.39,-59.5087
4211.43,-59.4302
4272.46,-59.3591
4333.5,-59.5013
4394.53,-59.5503
4455.57,-59.8396
4516.6,-60.8372
4577.64,-59.6116
4638.67,-59.8592
4699.71,-60.0455
4760.74,-59.1532
4821.78,-59.9891
4882.81,-60.6533
4943.85,-60.3641
5004.88,-59.8126
5065.92,-60.7293
5126.95,-60.3347
5187.99,-60.2636
5249.02,-60.1018
5310.06,-59.7464
5371.09,-59.9327
5432.13,-59.4866
5493.16,-59.7268
5554.2,-59.6288
5615.23,-60.0357
5676.27,-60.6926
5737.3,-59.7538
5798.34,-60.3592
5859.38,-59.2979
5920.41,-59.8273
5981.45,-59.5307
6042.48,-60.1313
6103.52,-60.3347
6164.55,-59.3175
6225.59,-59.6043
6286.62,-60.0798
6347.66,-60.1386
6408.69,-60.0136
6469.73,-60.195
6530.76,-59.5332
6591.8,-60.3004
6652.83,-60.2734
6713.87,-59.6999
6774.9,-59.842
6835.94,-60.1263
6896.97,-60.3273
6958.01,-59.8861
7019.04,-60.0038
7080.08,-60.2293
7141.11,-60.1214
7202.15,-60.3764
7263.18,-59.6165
7324.22,-59.2954
7385.25,-60.3984
7446.29,-60.3077
7507.32,-59.793
7568.36,-60.4425
7629.39,-59.4694
7690.43,-60.0504
7751.46,-59.5234
7812.5,-60.2342
7873.54,-59.5307
7934.57,-59.5577
7995.61,-60.2685
8056.64,-60.1337
8117.68,-59.6214
8178.71,-59.3273
8239.75,-59.8052
8300.78,-59.8077
8361.82,-60.1852
8422.85,-59.9229
8483.89,-59.7391
8544.92,-59.744
8605.96,-60.1067
8666.99,-60.2881
8728.03,-60.271
8789.06,-59.3003
8850.1,-59.9989
8911.13,-60.369
8972.17,-59.918
9033.2,-59.4743
9094.24,-60.5038
9155.27,-60.1533
9216.31,-59.891
9277.34,-60.3911
9338.38,-60.1705
9399.41,-58.9375
9460.45,-59.5038
