LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,156
Segment,TrigTime,TimeSinceSegment1
#1,16-Jul-2010 18:00:30,0                 
Time,Ampl
0,-117.958
61.0352,-47.5618
122.07,-47.0177
183.105,-52.4224
244.141,-55.1358
305.176,-57.0061
366.211,-57.7831
427.246,-58.9253
488.281,-58.2757
549.316,-56.8394
610.352,-58.0478
671.387,-58.4449
732.422,-59.4302
793.457,-59.5258
854.492,-58.739
915.527,-59.44
976.563,-59.9719
1037.6,-59.4596
1098.63,-60.4425
1159.67,-59.9842
1220.7,-59.5748
1281.74,-58.9474
1342.77,-59.0111
1403.81,-59.239
1464.84,-59.9523
1525.88,-59.6557
1586.91,-60.1631
1647.95,-59.6165
1708.98,-59.3003
1770.02,-59.2954
1831.05,-59.4694
1892.09,-59.5234
1953.13,-59.2734
2014.16,-60.32
2075.2,-59.7979
2136.23,-59.315
2197.27,-59.3689
2258.3,-59.1778
2319.34,-60.07
2380.37,-59.516
2441.41,-60.0185
2502.44,-60.0969
2563.48,-59.9548
2624.51,-60.0234
2685.55,-58.9792
2746.58,-59.6018
2807.62,-59.6704
2868.65,-54.0696
2929.69,-58.1287
2990.72,-59.2366
3051.76,-60.2808
3112.79,-59.9229
3173.83,-58.891
3234.86,-58.5429
3295.9,-58.9523
3356.93,-59.2415
3417.97,-60.3175
3479,-59.7244
3540.04,-59.7538
3601.07,-59.891
3662.11,-60.57
3723.14,-59.9082
3784.18,-59.6851
3845.21,-59.641
3906.25,-59.7538
3967.29,-59.19
4028.32,-59.9352
4089.36,-59.418
4150.39,-59.0356
4211.43,-59.6239
4272.46,-60.3886
4333.5,-60.2783
4394.53,-59.717
4455.57,-59.9744
4516.6,-59.3714
4577.64,-59.8592
4638.67,-60.3224
4699.71,-59.0846
4760.74,-59.994
4821.78,-59.2366
4882.81,-60.3617
4943.85,-59.766
5004.88,-59.3052
5065.92,-59.7783
5126.95,-59.7685
5187.99,-60.1214
5249.02,-59.5136
5310.06,-59.5307
5371.09,-59.0944
5432.13,-59.7513
5493.16,-59.5013
5554.2,-59.4008
5615.23,-60.0087
5676.27,-59.7293
5737.3,-59.6484
5798.34,-59.8224
5859.38,-59.6704
5920.41,-59.9768
5981.45,-59.4278
6042.48,-59.6704
6103.52,-59.7268
6164.55,-59.1067
6225.59,-59.4253
6286.62,-59.8052
6347.66,-59.5528
6408.69,-59.8518
6469.73,-59.5871
6530.76,-59.766
6591.8,-59.5895
6652.83,-59.5945
6713.87,-60.2661
6774.9,-59.4989
6835.94,-59.4302
6896.97,-59.8003
6958.01,-58.9228
7019.04,-60.3788
7080.08,-59.8886
7141.11,-58.9523
7202.15,-59.1876
7263.18,-59.8518
7324.22,-59.9131
7385.25,-60.2489
7446.29,-59.6533
7507.32,-60.6117
7568.36,-59.3297
7629.39,-59.6704
7690.43,-59.7489
7751.46,-59.1998
7812.5,-59.9376
7873.54,-60.0749
7934.57,-59.7391
7995.61,-60.3371
8056.64,-59.2832
8117.68,-59.3886
8178.71,-59.1189
8239.75,-59.9278
8300.78,-59.2783
8361.82,-59.9621
8422.85,-59.9082
8483.89,-59.5895
8544.92,-60.293
8605.96,-60.1876
8666.99,-59.7097
8728.03,-59.4694
8789.06,-60.3568
8850.1,-59.7783
8911.13,-59.3984
8972.17,-59.6263
9033.2,-59.69
9094.24,-59.4915
9155.27,-60.0871
9216.31,-59.9817
9277.34,-59.6729
9338.38,-58.8959
9399.41,-59.918
9460.45,-60.3175
