LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,156
Segment,TrigTime,TimeSinceSegment1
#1,16-Jul-2010 18:00:30,0                 
Time,Ampl
0,-117.958
61.0352,-55.854
122.07,-50.5032
183.105,-53.7068
244.141,-57.7635
305.176,-56.8933
366.211,-56.7707
427.246,-59.6729
488.281,-59.2268
549.316,-58.7562
610.352,-59.7709
671.387,-60.043
732.422,-60.2244
793.457,-60.092
854.492,-59.7832
915.527,-59.3542
976.563,-60.7416
1037.6,-60.3764
1098.63,-60.396
1159.67,-60.1558
1220.7,-61.1558
1281.74,-60.1533
1342.77,-59.4351
1403.81,-59.8518
1464.84,-60.5504
1525.88,-59.7562
1586.91,-60.016
1647.95,-59.8102
1708.98,-59.9327
1770.02,-59.9376
1831.05,-60.2538
1892.09,-59.8886
1953.13,-59.7783
2014.16,-59.6312
2075.2,-60.5308
2136.23,-59.9523
2197.27,-59.9695
2258.3,-60.1876
2319.34,-59.6606
2380.37,-59.6851
2441.41,-59.8347
2502.44,-59.4817
2563.48,-60.0087
2624.51,-59.6949
2685.55,-60.7661
2746.58,-60.1631
2807.62,-59.8052
2868.65,-59.4057
2929.69,-59.7807
2990.72,-59.69
3051.76,-60.0969
3112.79,-60.168
3173.83,-59.4351
3234.86,-59.7758
3295.9,-59.7317
3356.93,-59.8298
3417.97,-59.6802
3479,-61.0161
3540.04,-60.0185
3601.07,-60.4009
3662.11,-59.0258
3723.14,-59.5454
3784.18,-60.2759
3845.21,-60.7244
3906.25,-60.2636
3967.29,-60.32
4028.32,-60.4352
4089.36,-60.8592
4150.39,-60.092
4211.43,-59.1802
4272.46,-59.9033
4333.5,-60.445
4394.53,-59.2611
4455.57,-59.8298
4516.6,-59.668
4577.64,-60.1754
4638.67,-60.043
4699.71,-59.5381
4760.74,-60.1263
4821.78,-60.8592
4882.81,-60.8176
4943.85,-60.1411
5004.88,-60.1337
5065.92,-59.6239
5126.95,-59.4915
5187.99,-60.347
5249.02,-59.4253
5310.06,-60.5087
5371.09,-59.9278
5432.13,-60.1484
5493.16,-59.5111
5554.2,-60.0504
5615.23,-60.0259
5676.27,-60.3592
5737.3,-60.0528
5798.34,-60.4548
5859.38,-60.168
5920.41,-59.7685
5981.45,-59.9278
6042.48,-60.1116
6103.52,-60.1533
6164.55,-60.1533
6225.59,-60.6926
6286.62,-61.0259
6347.66,-59.9719
6408.69,-60.119
6469.73,-60.3739
6530.76,-60.6533
6591.8,-60.2636
6652.83,-60.7612
6713.87,-60.57
6774.9,-59.2611
6835.94,-60.2636
6896.97,-60.7734
6958.01,-59.891
7019.04,-60.5063
7080.08,-59.4425
7141.11,-59.2905
7202.15,-60.4793
7263.18,-60.32
7324.22,-60.2734
7385.25,-60.1043
7446.29,-60.7685
7507.32,-59.543
7568.36,-60.2048
7629.39,-59.7293
7690.43,-59.6312
7751.46,-59.7587
7812.5,-60.1435
7873.54,-60.3445
7934.57,-60.2514
7995.61,-60.1729
8056.64,-59.5454
8117.68,-60.7171
8178.71,-60.016
8239.75,-60.342
8300.78,-60.0209
8361.82,-59.5895
8422.85,-59.7219
8483.89,-60.3371
8544.92,-60.1116
8605.96,-60.2783
8666.99,-60.3837
8728.03,-60.271
8789.06,-59.5994
8850.1,-60.0185
8911.13,-59.5136
8972.17,-60.1067
9033.2,-59.3542
9094.24,-59.8641
9155.27,-60.016
9216.31,-59.5356
9277.34,-60.369
9338.38,-59.3003
9399.41,-59.7562
9460.45,-60.0896
