LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,1480
Segment,TrigTime,TimeSinceSegment1
#1,15-Jul-2010 18:53:06,0                 
Time,Ampl
0,-117.958
15.25879,-50.915
30.51758,-53.1063
45.77637,-53.9299
61.03516,-54.1725
76.29395,-54.3098
91.55273,-47.0471
106.8115,-40.0761
122.0703,-49.0644
137.3291,-48.3977
152.5879,-52.3366
167.8467,-54.4887
183.1055,-58.9326
198.3643,-56.8614
213.623,-56.8198
228.8818,-58.4841
244.1406,-57.6924
259.3994,-58.163
274.6582,-58.0037
289.917,-58.4351
305.1758,-58.9081
320.4346,-59.1214
335.6934,-59.6337
350.9521,-59.7611
366.2109,-58.0306
381.4697,-58.9449
396.7285,-59.7391
411.9873,-60.2808
427.2461,-60.1214
442.5049,-59.9205
457.7637,-58.5895
473.0225,-59.4817
488.2813,-58.8591
503.54,-59.6092
518.7988,-59.6949
534.0576,-59.3959
549.3164,-56.4423
564.5752,-59.6753
579.834,-57.3272
595.0928,-59.0135
610.3516,-59.4474
625.6104,-60.3886
640.8691,-58.8714
656.1279,-60.869
671.3867,-59.9866
686.6455,-59.641
701.9043,-59.1238
717.1631,-58.6214
732.4219,-59.8396
747.6807,-59.1483
762.9395,-59.1925
778.1982,-59.315
793.457,-58.7488
808.7158,-60.5577
823.9746,-59.3101
839.2334,-59.3469
854.4922,-59.9842
869.751,-60.0798
885.0098,-59.5479
900.2686,-58.8346
915.5273,-59.1581
930.7861,-60.8004
946.0449,-59.7979
961.3037,-58.9424
976.5625,-59.9793
991.8213,-59.7538
1007.08,-59.4547
1022.339,-59.4572
1037.598,-60.3298
1052.856,-60.168
1068.115,-59.6092
1083.374,-59.3886
1098.633,-59.092
1113.892,-59.3077
1129.15,-59.4989
1144.409,-61.0406
1159.668,-59.516
1174.927,-58.9204
1190.186,-60.5945
1205.444,-58.1336
1220.703,-59.6263
1235.962,-60.195
1251.221,-59.3518
1266.479,-59.2096
1281.738,-59.8567
1296.997,-59.2219
1312.256,-60.5308
1327.515,-60.0773
1342.773,-59.0993
1358.032,-60.1778
1373.291,-59.7905
1388.55,-59.717
1403.809,-58.5429
1419.067,-59.7685
1434.326,-59.9082
1449.585,-59.5013
1464.844,-59.5895
1480.103,-60.2023
1495.361,-58.6728
1510.62,-60.1313
1525.879,-60.9279
1541.138,-59.7587
1556.396,-60.7882
1571.655,-59.0577
1586.914,-59.0871
1602.173,-59.2832
1617.432,-59.0209
1632.69,-58.8738
1647.949,-60.1239
1663.208,-59.7905
1678.467,-58.6361
1693.726,-59.7391
1708.984,-59.9106
1724.243,-59.1851
1739.502,-58.4277
1754.761,-59.6704
1770.02,-59.0111
1785.278,-60.0602
1800.537,-59.7587
1815.796,-60.4254
1831.055,-59.6925
1846.313,-59.9744
1861.572,-59.8151
1876.831,-60.4303
1892.09,-59.918
1907.349,-60.3617
1922.607,-59.44
1937.866,-59.7023
