LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	325
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 17:45:37	0                 
Time	Ampl
0	-117.958
305.176	-39.5442
610.352	-45.4588
915.527	-49.1698
1220.7	-50.8562
1525.88	-53.7975
1831.05	-55.0353
2136.23	-55.8736
2441.41	-56.3369
2746.58	-56.859
3051.76	-57.1654
3356.93	-57.5845
3662.11	-57.788
3967.29	-58.2684
4272.46	-58.2439
4577.64	-58.5405
4882.81	-58.0772
5187.99	-58.5258
5493.16	-58.913
5798.34	-59.0086
6103.52	-59.1851
6408.69	-59.1459
6713.87	-59.1802
7019.04	-58.5258
7324.22	-59.2464
7629.39	-59.516
7934.57	-59.4229
8239.75	-59.7734
8544.92	-59.5405
8850.1	-59.2758
9155.27	-59.4474
9460.45	-59.391
9765.63	-59.1042
10070.8	-59.744
10376	-59.4817
10681.2	-59.7636
10986.3	-59.543
11291.5	-59.6312
11596.7	-59.6802
11901.9	-59.6288
12207	-59.7268
12512.2	-59.7709
12817.4	-59.3469
13122.6	-59.6925
13427.7	-59.4155
13732.9	-58.0061
14038.1	-58.4841
14343.3	-59.6484
14648.4	-59.5748
14953.6	-59.5871
15258.8	-59.7783
15564	-59.6043
15869.1	-59.5503
16174.3	-59.4915
16479.5	-59.4915
16784.7	-59.9474
17089.8	-59.6508
17395	-59.5136
17700.2	-59.9082
18005.4	-59.82
18310.5	-59.7954
18615.7	-59.9033
18920.9	-59.8102
19226.1	-59.4376
19531.3	-59.7783
19836.4	-59.7366
20141.6	-59.7072
20446.8	-59.6778
20752	-59.8347
21057.1	-59.4817
21362.3	-59.5356
21667.5	-59.7464
21972.7	-59.7636
22277.8	-59.7317
22583	-59.6778
22888.2	-59.7121
23193.4	-60.0013
23498.5	-59.9033
23803.7	-59.4743
24108.9	-59.6631
24414.1	-59.6655
24719.2	-59.5258
25024.4	-59.6925
25329.6	-59.6753
25634.8	-59.5724
25939.9	-59.6655
26245.1	-59.7415
26550.3	-59.619
