LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,1295
Segment,TrigTime,TimeSinceSegment1
#1,15-Jul-2010 14:54:19,0                 
Time,Ampl
0,-143.979
0.07629395,-60.3509
0.1525879,-64.1108
0.2288818,-57.1803
0.3051758,-53.1846
0.3814697,-64.8893
0.4577637,-68.0279
0.5340576,-74.2561
0.6103516,-68.3521
0.6866455,-74.428
0.7629395,-76.179
0.8392334,-79.4453
0.9155273,-78.8977
0.9918213,-75.2875
1.068115,-87.9402
1.144409,-83.3207
1.220703,-85.256
1.296997,-85.4107
1.373291,-86.3611
1.449585,-77.2596
1.525879,-80.1281
1.602173,-80.3024
1.678467,-86.8523
1.754761,-78.3525
1.831055,-92.6138
1.907349,-79.7597
1.983643,-93.0436
2.059937,-83.3404
2.13623,-94.5073
2.212524,-79.4846
2.288818,-77.4561
2.365112,-100.256
2.441406,-83.6031
2.5177,-86.5379
2.593994,-108.688
2.670288,-87.0586
2.746582,-93.9498
2.822876,-79.5239
2.89917,-80.8034
2.975464,-83.7259
3.051758,-81.2848
3.128052,-84.4062
3.204346,-83.3232
3.28064,-87.0659
3.356934,-86.754
3.433228,-83.1783
3.509521,-87.7978
3.585815,-84.2908
3.662109,-82.2573
3.738403,-93.3407
3.814697,-87.1691
3.890991,-79.6541
3.967285,-82.1296
4.043579,-89.1412
4.119873,-94.2027
4.196167,-93.1614
4.272461,-91.6904
4.348755,-85.9436
4.425049,-85.9854
4.501343,-96.3001
4.577637,-94.5171
4.653931,-106.983
4.730225,-88.0974
4.806519,-85.0644
4.882813,-89.9835
4.959106,-95.6321
5.0354,-88.6991
5.111694,-86.7123
5.187988,-92.1742
5.264282,-89.0798
5.340576,-88.1146
5.41687,-92.8716
5.493164,-91.7935
5.569458,-90.1849
5.645752,-91.1353
5.722046,-87.842
5.79834,-83.9887
5.874634,-87.8911
5.950928,-91.3858
6.027222,-82.584
6.103516,-83.7186
6.17981,-84.4013
6.256104,-86.4029
6.332397,-81.9061
6.408691,-84.3104
6.484985,-86.9849
6.561279,-97.3856
6.637573,-84.669
6.713867,-85.2584
6.790161,-82.5054
6.866455,-84.0747
6.942749,-83.4975
7.019043,-88.1588
7.095337,-88.1637
7.171631,-84.7525
7.247925,-88.758
7.324219,-87.2649
7.400513,-92.4075
7.476807,-80.661
7.553101,-84.2269
7.629395,-85.1528
7.705688,-97.9774
7.781982,-84.6076
7.858276,-89.7281
7.93457,-96.0299
8.010864,-89.5709
8.087158,-84.2073
8.163452,-88.6819
8.239746,-93.7091
8.31604,-83.1464
8.392334,-95.0353
8.468628,-94.107
8.544922,-87.5719
8.621216,-95.7941
8.69751,-82.584
8.773804,-90.0474
8.850098,-82.0412
8.926392,-86.7
9.002686,-86.6509
9.078979,-91.1231
9.155273,-87.842
9.231567,-93.1
9.307861,-83.7554
9.384155,-93.1614
9.460449,-82.2622
9.536743,-87.8494
9.613037,-85.4426
9.689331,-86.2948
9.765625,-80.6684
9.841919,-88.871
9.918213,-87.0365
9.994507,-87.9648
10.0708,-87.1863
10.14709,-95.3202
10.22339,-103.94
10.29968,-91.5086
10.37598,-82.525
10.45227,-87.9427
10.52856,-82.1394
10.60486,-87.7069
10.68115,-85.2682
10.75745,-93.1148
10.83374,-90.1063
10.91003,-98.4367
10.98633,-82.4071
11.06262,-94.6718
11.13892,-89.5906
11.21521,-84.2368
11.2915,-94.0554
11.3678,-84.2294
11.44409,-92.7317
11.52039,-86.0197
11.59668,-88.0458
11.67297,-88.3626
11.74927,-85.2879
11.82556,-93.3088
11.90186,-91.2311
11.97815,-81.6016
12.05444,-87.7978
12.13074,-83.2372
12.20703,-84.7427
12.28333,-84.8458
12.35962,-84.0845
12.43591,-90.3887
12.51221,-89.6127
12.5885,-82.3506
12.66479,-93.6772
12.74109,-84.4234
12.81738,-83.694
12.89368,-87.228
12.96997,-83.6081
13.04626,-97.0761
13.12256,-85.8355
13.19885,-93.24
13.27515,-84.8581
13.35144,-80.2239
13.42773,-89.0257
13.50403,-87.4908
13.58032,-95.8433
13.65662,-91.5897
13.73291,-86.6091
13.8092,-87.7953
13.8855,-92.6531
13.96179,-110.935
14.03809,-80.8378
14.11438,-88.7335
14.19067,-76.4885
14.26697,-83.8659
14.34326,-80.7985
14.41956,-83.586
14.49585,-88.1637
14.57214,-92.1079
14.64844,-85.3051
14.72473,-92.6924
14.80103,-92.4836
14.87732,-92.8716
14.95361,-89.4604
15.02991,-93.0927
15.1062,-89.4874
15.1825,-83.139
15.25879,-92.491
15.33508,-86.4151
15.41138,-85.03
15.48767,-85.3468
15.56396,-87.6504
15.64026,-89.7011
15.71655,-92.2773
15.79285,-96.1797
15.86914,-86.4421
15.94543,-86.7295
16.02173,-86.8154
16.09802,-86.1941
16.17432,-87.3656
16.25061,-86.4864
16.3269,-93.2155
16.4032,-80.2042
16.47949,-87.5178
16.55579,-87.6406
16.63208,-85.1209
16.70837,-91.6928
16.78467,-92.437
16.86096,-85.7471
16.93726,-82.0019
17.01355,-98.7584
17.08984,-87.8125
17.16614,-85.8405
17.24243,-89.7036
17.31873,-87.9697
17.39502,-91.9531
17.47131,-88.4339
17.54761,-87.6185
17.6239,-83.306
17.7002,-89.2173
17.77649,-86.7442
17.85278,-87.3484
17.92908,-95.1777
18.00537,-85.9387
18.08167,-85.4352
18.15796,-83.4018
18.23425,-79.7327
18.31055,-81.3118
18.38684,-87.1814
18.46313,-85.6931
18.53943,-87.341
18.61572,-86.1941
18.69202,-98.4367
18.76831,-79.9463
18.8446,-93.4758
18.9209,-79.9463
18.99719,-82.078
19.07349,-97.8031
19.14978,-82.9695
19.22607,-88.4658
19.30237,-89.0331
