LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	156
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 14:43:03	0                 
Time	Ampl
0	-117.958
61.0352	-48.4761
122.07	-46.7088
183.105	-55.0182
244.141	-57.3933
305.176	-58.3419
366.211	-58.4228
427.246	-59.5945
488.281	-59.5969
549.316	-59.0503
610.352	-59.744
671.387	-60.4769
732.422	-59.8298
793.457	-59.8175
854.492	-59.7464
915.527	-59.2488
976.563	-59.6386
1037.6	-59.4057
1098.63	-59.7709
1159.67	-58.989
1220.7	-60.1607
1281.74	-61.0333
1342.77	-59.7562
1403.81	-59.9327
1464.84	-59.641
1525.88	-60.2783
1586.91	-60.0234
1647.95	-60.1925
1708.98	-61.2661
1770.02	-59.6925
1831.05	-61.4843
1892.09	-60.0504
1953.13	-60.2955
2014.16	-59.1949
2075.2	-60.271
2136.23	-60.8494
2197.27	-60.1558
2258.3	-59.9817
2319.34	-60.342
2380.37	-59.8739
2441.41	-59.1851
2502.44	-61.1681
2563.48	-60.0798
2624.51	-60.1263
2685.55	-60.5455
2746.58	-60.1337
2807.62	-61.2269
2868.65	-60.0626
2929.69	-60.2121
2990.72	-60.016
3051.76	-59.6288
3112.79	-59.7587
3173.83	-59.1925
3234.86	-60.1754
3295.9	-59.3199
3356.93	-60.6852
3417.97	-60.0626
3479	-59.0675
3540.04	-61.0357
3601.07	-60.4671
3662.11	-60.0651
3723.14	-60.4523
3784.18	-60.3641
3845.21	-59.8984
3906.25	-60.4523
3967.29	-60.1876
4028.32	-59.8273
4089.36	-60.1778
4150.39	-60.4009
4211.43	-59.8175
4272.46	-60.2832
4333.5	-59.5258
4394.53	-59.3665
4455.57	-60.7391
4516.6	-60.0406
4577.64	-60.0479
4638.67	-59.6018
4699.71	-60.0332
4760.74	-60.5259
4821.78	-60.418
4882.81	-60.1116
4943.85	-60.1214
5004.88	-59.1238
5065.92	-59.7048
5126.95	-60.8298
5187.99	-60.7636
5249.02	-60.9548
5310.06	-60.5627
5371.09	-60.3102
5432.13	-61.5333
5493.16	-60.9842
5554.2	-60.5676
5615.23	-59.8886
5676.27	-60.3175
5737.3	-60.7563
5798.34	-60.8372
5859.38	-60.5161
5920.41	-59.1116
5981.45	-59.7464
6042.48	-60.5577
6103.52	-60.0553
6164.55	-60.5945
6225.59	-60.5602
6286.62	-59.9474
6347.66	-60.1141
6408.69	-59.717
6469.73	-60.5112
6530.76	-60.0969
6591.8	-59.5969
6652.83	-58.9841
6713.87	-59.8641
6774.9	-59.9008
6835.94	-60.6582
6896.97	-58.8983
6958.01	-60.244
7019.04	-59.967
7080.08	-60.0724
7141.11	-59.8371
7202.15	-60.9695
7263.18	-60.2734
7324.22	-60.0749
7385.25	-59.8592
7446.29	-59.9401
7507.32	-59.744
7568.36	-60.5161
7629.39	-61.3421
7690.43	-60.1754
7751.46	-60.9034
7812.5	-60.7293
7873.54	-60.9867
7934.57	-60.9597
7995.61	-60.2391
8056.64	-60.092
8117.68	-60.1607
8178.71	-60.4523
8239.75	-60.1337
8300.78	-59.8567
8361.82	-60.2514
8422.85	-60.1141
8483.89	-59.3371
8544.92	-60.5087
8605.96	-60.0479
8666.99	-59.9401
8728.03	-60.3175
8789.06	-60.5308
8850.1	-60.8176
8911.13	-59.0282
8972.17	-60.2268
9033.2	-60.7465
9094.24	-60.0357
9155.27	-60.3126
9216.31	-59.5846
9277.34	-61.0504
9338.38	-60.2808
9399.41	-60.4401
9460.45	-59.9303
