LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	156
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 14:53:57	0                 
Time	Ampl
0	-117.958
15.2588	-52.0572
30.5176	-51.817
45.7764	-49.4933
61.0352	-47.4319
76.2939	-43.4733
91.5527	-34.1713
106.812	-32.7937
122.07	-42.5149
137.329	-46.976
152.588	-49.5546
167.847	-51.4395
183.105	-52.3538
198.364	-52.5499
213.623	-54.3809
228.882	-54.4005
244.141	-56.0305
259.399	-56.1898
274.658	-56.6923
289.917	-57.7193
305.176	-57.8198
320.435	-57.283
335.693	-58.0355
350.952	-57.7438
366.211	-57.7218
381.47	-58.6508
396.729	-58.8542
411.987	-59.0429
427.246	-59.5185
442.505	-58.4277
457.764	-59.2513
473.022	-58.9792
488.281	-58.6532
503.54	-59.1532
518.799	-57.8419
534.058	-58.8125
549.316	-59.0111
564.575	-57.9228
579.834	-58.6802
595.093	-58.8003
610.352	-58.337
625.61	-59.1998
640.869	-58.6875
656.128	-59.3248
671.387	-59.9008
686.646	-59.5136
701.904	-60.6264
717.163	-60.7416
732.422	-59.0258
747.681	-59.8249
762.939	-60.0798
778.198	-59.6851
793.457	-60.4205
808.716	-60.7391
823.975	-59.8616
839.233	-60.6313
854.492	-60.5259
869.751	-59.8788
885.01	-58.7488
900.269	-60.043
915.527	-60.5234
930.786	-59.2881
946.045	-60.6313
961.304	-60.5112
976.563	-60.3249
991.821	-60.1533
1007.08	-58.9596
1022.34	-59.5675
1037.6	-59.3273
1052.86	-59.3518
1068.12	-59.9842
1083.37	-60.8004
1098.63	-59.0601
1113.89	-59.1998
1129.15	-59.6729
1144.41	-60.7146
1159.67	-60.8641
1174.93	-60.5627
1190.19	-59.4915
1205.44	-59.4302
1220.7	-60.5945
1235.96	-59.8959
1251.22	-59.5945
1266.48	-60.2759
1281.74	-59.6214
1297	-60.5014
1312.26	-59.6949
1327.51	-59.9523
1342.77	-58.4792
1358.03	-59.4449
1373.29	-60.7685
1388.55	-59.0258
1403.81	-59.5185
1419.07	-61.3299
1434.33	-60.0406
1449.58	-59.4204
1464.84	-60.923
1480.1	-60.1067
1495.36	-60.1803
1510.62	-58.6924
1525.88	-60.1852
1541.14	-60.5479
1556.4	-60.6141
1571.66	-60.6926
1586.91	-60.8519
1602.17	-61.6215
1617.43	-60.0455
1632.69	-60.8445
1647.95	-60.4793
1663.21	-59.2611
1678.47	-60.7171
1693.73	-60.8985
1708.98	-59.2562
1724.24	-60.0724
1739.5	-59.9131
1754.76	-60.5921
1770.02	-60.7318
1785.28	-58.6189
1800.54	-60.6803
1815.8	-60.9058
1831.05	-60.2416
1846.31	-59.2317
1861.57	-59.6018
1876.83	-59.9817
1892.09	-59.2464
1907.35	-59.9695
1922.61	-58.4473
1937.87	-61.1877
1953.13	-60.3788
1968.38	-59.2488
1983.64	-59.8665
1998.9	-59.7587
2014.16	-60.0577
2029.42	-61.3617
2044.68	-61.146
2059.94	-60.4058
2075.2	-58.9523
2090.45	-60.1043
2105.71	-60.3126
2120.97	-59.8298
2136.23	-60.7538
2151.49	-60.494
2166.75	-60.5161
2182.01	-59.5552
2197.27	-60.5749
2212.52	-60.4916
2227.78	-59.6141
2243.04	-59.7562
2258.3	-58.9572
2273.56	-59.7636
2288.82	-60.195
2304.08	-58.913
2319.34	-61.0725
2334.59	-59.744
2349.85	-60.1067
2365.11	-59.9597
