LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	156
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 16:40:21	0                 
Time	Ampl
0	-117.958
3.05176	-56.6359
6.10352	-58.8959
9.15527	-60.5283
12.207	-59.5307
15.2588	-60.0455
18.3105	-59.8249
21.3623	-61.347
24.4141	-59.1165
27.4658	-59.0993
30.5176	-58.8763
33.5693	-60.3004
36.6211	-58.6312
39.6729	-59.9621
42.7246	-61.5382
45.7764	-60.9769
48.8281	-58.3738
51.8799	-60.3519
54.9316	-57.2855
57.9834	-60.0283
61.0352	-54.5941
64.0869	-56.6948
67.1387	-50.3635
70.1904	-56.8982
73.2422	-55.6359
76.2939	-57.7316
79.3457	-58.4743
82.3975	-55.9619
85.4492	-58.1998
88.501	-59.0086
91.5527	-59.8959
94.6045	-60.1239
97.6562	-58.1679
100.708	-56.0795
103.76	-59.918
106.812	-57.0918
109.863	-58.4302
112.915	-58.2684
115.967	-58.7856
119.019	-60.5259
122.07	-59.0871
125.122	-59.1949
128.174	-59.2194
131.226	-61.1117
134.277	-59.2145
137.329	-58.2169
140.381	-59.6974
143.433	-59.9572
146.484	-59.5871
149.536	-60.5627
152.588	-58.4228
155.64	-59.1876
158.691	-58.1752
161.743	-60.0675
164.795	-59.6361
167.847	-59.7415
170.898	-58.9768
173.95	-59.641
177.002	-60.8004
180.054	-59.7513
183.105	-59.5846
186.157	-59.1606
189.209	-61.2833
192.261	-60.5406
195.312	-58.3199
198.364	-59.7832
201.416	-61.6093
204.468	-60.3715
207.52	-60.9622
210.571	-60.6779
213.623	-58.788
216.675	-61.0235
219.727	-60.3077
222.778	-58.0233
225.83	-61.2588
228.882	-59.2832
231.934	-59.6067
234.985	-61.3789
238.037	-59.0773
241.089	-61.4671
244.141	-60.3715
247.192	-59.2513
250.244	-60.4548
253.296	-61.3936
256.348	-60.2857
259.399	-59.3297
262.451	-61.4304
265.503	-58.8297
268.555	-60.7661
271.606	-60.1852
274.658	-58.4155
277.71	-60.0479
280.762	-58.6973
283.813	-61.5161
286.865	-60.0062
289.917	-60.6999
292.969	-61.1068
296.021	-62.401
299.072	-58.4914
302.124	-59.2537
305.176	-60.3984
308.228	-58.7488
311.279	-59.1581
314.331	-61.1705
317.383	-60.2342
320.435	-60.9254
323.486	-60.1631
326.538	-60.7048
329.59	-58.5135
332.642	-59.3959
335.693	-57.6924
338.745	-58.2954
341.797	-59.5307
344.849	-58.9375
347.9	-59.7023
350.952	-58.9817
354.004	-60.9965
357.056	-59.9156
360.107	-62.5309
363.159	-60.3862
366.211	-60.3126
369.263	-59.9082
372.314	-59.9352
375.366	-60.0234
378.418	-60.8519
381.47	-60.5847
384.521	-59.3616
387.573	-60.8764
390.625	-59.2905
393.677	-59.0626
396.729	-60.8298
399.78	-59.0699
402.832	-62.5873
405.884	-61.3691
408.936	-61.8397
411.987	-61.2955
415.039	-58.7366
418.091	-60.1827
421.143	-61.4132
424.194	-59.8935
427.246	-62.2956
430.298	-58.8591
433.35	-59.3077
436.401	-60.5798
439.453	-60.8372
442.505	-59.2464
445.557	-59.342
448.608	-61.0896
451.66	-58.9596
454.712	-59.7391
457.764	-60.5798
460.815	-59.6631
463.867	-61.8103
466.919	-60.6558
469.971	-60.5872
473.022	-59.3738
