LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,637
Segment,TrigTime,TimeSinceSegment1
#1,15-Jul-2010 15:40:55,0                 
Time,Ampl
0,-97.9578
1.52588,-41.3251
3.05176,-49.2576
4.57764,-53.8845
6.10352,-60.0709
7.62939,-52.2096
9.15527,-54.6434
10.6812,-59.7811
12.207,-54.3511
13.7329,-65.5107
15.2588,-58.811
16.7847,-59.6264
18.3105,-56.7481
19.8364,-58.3076
21.3623,-53.9287
22.8882,-50.4635
24.4141,-50.6894
25.9399,-47.4157
27.4658,-53.4719
28.9917,-52.4331
30.5176,-56.058
32.0435,-54.7342
33.5693,-60.8519
35.0952,-59.6632
36.6211,-52.0819
38.147,-56.4509
39.6729,-53.5407
41.1987,-57.5315
42.7246,-53.0127
44.2505,-51.8928
45.7764,-60.508
47.3022,-55.2426
48.8281,-53.6586
50.354,-54.3266
51.8799,-55.1542
53.4058,-59.5134
54.9316,-55.7927
56.4575,-53.5456
57.9834,-53.9312
59.5093,-59.2089
61.0352,-53.6045
62.561,-52.6664
64.0869,-51.2322
65.6128,-58.2118
67.1387,-58.0276
68.6646,-57.6346
70.1904,-54.943
71.7163,-60.8494
73.2422,-54.6336
74.7681,-55.5496
76.2939,-54.6778
77.8198,-63.7424
79.3457,-56.0752
80.8716,-62.3106
82.3975,-62.2885
83.9233,-60.0782
85.4492,-50.6231
86.9751,-62.5489
88.501,-52.3005
90.0269,-65.712
91.5527,-56.1243
93.0786,-61.2497
94.6045,-50.9939
96.1304,-54.6483
97.6562,-59.759
99.1821,-63.5091
100.708,-59.0149
102.234,-68.5682
103.76,-59.5723
105.286,-50.8048
106.812,-57.8287
108.337,-54.6409
109.863,-56.0997
111.389,-58.9682
112.915,-52.6787
114.441,-57.033
115.967,-58.1504
117.493,-55.1788
119.019,-62.6618
120.544,-54.0982
122.07,-52.2931
123.596,-54.6827
125.122,-55.196
126.648,-54.1719
128.174,-46.9344
129.7,-61.2325
131.226,-54.4273
132.751,-48.069
134.277,-55.4907
135.803,-61.9324
137.329,-62.7036
138.855,-64.8427
140.381,-58.3911
141.907,-60.9869
143.433,-64.0985
144.958,-51.9444
146.484,-62.5882
148.01,-58.5261
149.536,-59.1155
151.062,-55.9769
152.588,-54.9847
154.114,-55.5643
155.64,-72.4583
157.166,-55.7657
158.691,-56.9544
160.217,-59.9604
161.743,-54.496
163.269,-63.1825
164.795,-51.991
166.321,-57.5634
167.847,-57.087
169.373,-66.1025
170.898,-63.1334
172.424,-58.4353
173.95,-50.4266
175.476,-60.373
177.002,-60.4835
178.528,-55.859
180.054,-60.901
181.58,-62.625
183.105,-63.5631
184.631,-55.7878
186.157,-56.3281
187.683,-53.7101
189.209,-54.4543
190.735,-52.1949
192.261,-65.4689
193.787,-51.7012
195.312,-56.0924
196.838,-59.4422
198.364,-64.2434
199.89,-55.0682
201.416,-57.8778
202.942,-63.6368
204.468,-64.3785
205.994,-53.413
207.52,-53.6365
209.045,-65.8766
210.571,-61.7384
212.097,-66.4071
213.623,-50.3235
215.149,-66.5446
216.675,-60.4515
218.201,-54.5451
219.727,-70.3291
221.252,-53.4474
222.778,-54.943
224.304,-55.7805
225.83,-57.7845
227.356,-53.5481
228.882,-53.3418
230.408,-58.978
231.934,-71.0192
233.459,-66.4218
234.985,-55.9204
236.511,-56.5909
238.037,-51.9124
239.563,-56.4288
241.089,-57.5487
242.615,-55.3801
244.141,-55.4833
245.667,-60.201
247.192,-53.4523
248.718,-56.2078
250.244,-56.92
251.77,-53.9263
253.296,-62.5906
254.822,-68.4577
256.348,-63.2341
257.874,-61.7482
259.399,-56.7309
260.925,-52.1654
262.451,-56.4558
263.977,-52.0573
265.503,-64.7371
