LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,1479
Segment,TrigTime,TimeSinceSegment1
#1,15-Jul-2010 18:50:40,0                 
Time,Ampl
0,-117.958
15.25879,-53.9042
30.51758,-62.8411
45.77637,-64.5627
61.03516,-58.7472
76.29395,-63.6909
91.55273,-57.2638
106.8115,-67.9543
122.0703,-53.8452
137.3291,-48.5258
152.5879,-56.112
167.8467,-56.1808
183.1055,-58.0006
198.3643,-59.9235
213.623,-60.3165
228.8818,-67.8487
244.1406,-73.3474
259.3994,-64.4006
274.6582,-68.7745
289.917,-74.0891
305.1758,-63.1137
320.4346,-58.3395
335.6934,-56.2348
350.9521,-53.2165
366.2109,-55.0535
381.4697,-61.7458
396.7285,-60.6112
411.9873,-67.6792
427.2461,-57.2319
442.5049,-54.8497
457.7637,-65.0121
473.0225,-63.5288
488.2813,-64.6364
503.54,-54.1792
518.7988,-69.386
534.0576,-70.4298
549.3164,-57.7255
564.5752,-61.596
579.834,-55.4415
595.0928,-70.2603
610.3516,-66.1615
625.6104,-63.0032
640.8691,-65.4591
656.1279,-62.0822
671.3867,-54.9946
686.6455,-58.364
701.9043,-54.9258
717.1631,-63.0548
732.4219,-61.5297
747.6807,-65.8201
762.9395,-56.4779
778.1982,-56.6326
793.457,-68.2293
808.7158,-57.3547
823.9746,-55.4096
839.2334,-69.6022
854.4922,-58.8552
869.751,-73.4702
885.0098,-61.736
900.2686,-67.2764
915.5273,-63.9021
930.7861,-59.5944
946.0449,-64.0617
961.3037,-57.6543
976.5625,-63.4551
991.8213,-64.5553
1007.08,-56.0555
1022.339,-63.3519
1037.598,-60.7659
1052.856,-63.8824
1068.115,-69.5997
1083.374,-71.9107
1098.633,-63.5484
1113.892,-68.8629
1129.15,-59.3562
1144.409,-61.3971
1159.668,-62.8681
1174.927,-70.14
1190.186,-68.3497
1205.444,-64.6806
1220.703,-59.6288
1235.962,-59.2654
1251.221,-64.9335
1266.479,-64.6486
1281.738,-61.2104
1296.997,-58.9952
1312.256,-55.5742
1327.515,-63.1874
1342.773,-59.0296
1358.032,-59.3096
1373.291,-63.6786
1388.55,-66.8933
1403.809,-60.3091
1419.067,-60.2182
1434.326,-55.8811
1449.585,-59.5257
1464.844,-58.9461
1480.103,-59.1229
1495.361,-64.9335
1510.62,-61.4364
1525.879,-72.7825
1541.138,-83.2323
1556.396,-58.7472
1571.655,-56.9126
1586.914,-62.5562
1602.173,-61.456
1617.432,-64.9679
1632.69,-67.5908
1647.949,-56.9126
1663.208,-64.2754
1678.467,-68.023
1693.726,-67.9248
1708.984,-67.4705
1724.243,-73.286
1739.502,-60.7143
1754.761,-70.8031
1770.02,-66.1983
1785.278,-65.4001
1800.537,-63.7547
1815.796,-75.0837
1831.055,-61.6746
1846.313,-57.0452
1861.572,-69.1724
1876.831,-62.1093
1892.09,-63.2979
1907.349,-63.7007
1922.607,-62.9148
1937.866,-67.4017
1953.125,-62.0528
1968.384,-56.699
1983.643,-58.0423
1998.901,-56.947
2014.16,-55.7362
2029.419,-60.5154
2044.678,-66.8982
2059.937,-62.1265
2075.195,-55.6135
2090.454,-64.9826
2105.713,-63.7056
2120.972,-74.4771
2136.23,-67.9813
2151.489,-58.4696
2166.748,-59.3611
2182.007,-58.6416
2197.266,-54.4788
2212.524,-57.0158
2227.783,-60.7929
2243.042,-57.9711
2258.301,-61.3676
2273.56,-63.293
2288.818,-55.8541
2304.077,-60.8666
2319.336,-56.7628
2334.595,-60.1323
2349.854,-62.4064
2365.112,-66.6011
2380.371,-60.1151
2395.63,-59.1843
2410.889,-62.5808
2426.147,-56.4656
2441.406,-58.4009
2456.665,-65.2356
2471.924,-60.0733
2487.183,-67.3157
2502.441,-68.023
2517.7,-69.1454
2532.959,-65.049
2548.218,-56.3281
2563.477,-71.7388
2578.735,-67.3894
2593.994,-64.8574
2609.253,-73.6445
2624.512,-59.4029
2639.771,-65.4689
2655.029,-62.8927
2670.288,-68.109
2685.547,-69.666
2700.806,-57.2
2716.064,-58.2781
2731.323,-59.6509
2746.582,-53.5309
2761.841,-57.0084
2777.1,-64.3908
2792.358,-64.7641
2807.617,-67.6301
2822.876,-74.4427
2838.135,-58.4549
2853.394,-58.6907
2868.652,-56.0973
2883.911,-58.9043
2899.17,-54.5869
2914.429,-62.6962
2929.688,-68.9808
2944.946,-66.9474
2960.205,-67.3133
2975.464,-57.0894
2990.723,-60.4712
3005.981,-55.7043
3021.24,-60.4049
3036.499,-63.2439
3051.758,-71.3409
3067.017,-54.8865
3082.275,-62.7404
3097.534,-60.6701
3112.793,-73.6691
3128.052,-55.3433
3143.311,-62.1903
3158.569,-58.5433
3173.828,-58.8208
3189.087,-55.4686
3204.346,-59.5085
3219.604,-57.9588
3234.863,-61.2644
3250.122,-65.3903
3265.381,-65.8815
3280.64,-57.6273
3295.898,-56.64
3311.157,-65.2847
3326.416,-65.1546
3341.675,-60.7487
3356.934,-61.0704
3372.192,-63.6
3387.451,-60.341
3402.71,-57.2368
3417.969,-61.4732
3433.228,-56.0899
3448.486,-58.5065
3463.745,-66.7116
3479.004,-62.431
3494.263,-59.6092
3509.521,-68.6665
3524.78,-57.0109
3540.039,-57.1754
3555.298,-67.0849
3570.557,-59.8818
3585.815,-67.9322
3601.074,-62.7822
3616.333,-62.7502
3631.592,-63.7105
3646.851,-80.9213
3662.109,-60.7364
3677.368,-71.2697
3692.627,-63.8775
3707.886,-59.5674
3723.145,-64.9556
3738.403,-61.8391
3753.662,-62.0872
3768.921,-55.0265
3784.18,-64.4767
3799.438,-60.2895
3814.697,-62.5955
3829.956,-66.0239
3845.215,-68.2981
3860.474,-55.0437
3875.732,-64.7493
3890.991,-75.1868
3906.25,-54.1817
3921.509,-57.3301
3936.768,-60.6701
3952.026,-64.5578
3967.285,-67.6939
3982.544,-60.1396
3997.803,-67.0922
4013.062,-61.9128
4028.32,-63.4182
4043.579,-65.2921
4058.838,-66.38
4074.097,-63.2267
4089.355,-79.3446
4104.614,-63.4821
4119.873,-58.2707
4135.132,-70.28
4150.391,-57.8925
4165.649,-60.8936
4180.908,-82.3556
4196.167,-63.5656
4211.426,-60.5277
4226.685,-60.8887
4241.943,-72.1931
4257.202,-57.4357
4272.461,-56.1513
4287.72,-60.508
4302.979,-64.6118
4318.237,-66.9817
4333.496,-55.083
4348.755,-66.3162
4364.014,-65.55
4379.272,-65.2454
4394.531,-59.1278
4409.79,-66.6379
4425.049,-59.8351
4440.308,-54.6483
4455.566,-63.6761
4470.825,-61.2841
4486.084,-61.1245
4501.343,-60.6775
4516.602,-63.2783
4531.86,-62.9762
4547.119,-65.9282
4562.378,-75.5405
4577.637,-59.9677
4592.896,-63.8947
4608.154,-57.5241
4623.413,-56.5369
4638.672,-82.4734
4653.931,-68.2858
4669.189,-59.2089
4684.448,-68.9759
4699.707,-55.1517
4714.966,-77.0754
4730.225,-64.8967
4745.483,-60.039
4760.742,-61.1809
4776.001,-59.759
4791.26,-63.2955
4806.519,-60.8273
4821.777,-67.8388
4837.036,-58.8552
4852.295,-68.5142
4867.554,-60.8592
4882.813,-62.3524
4898.071,-64.5283
4913.33,-63.9708
4928.589,-59.9825
4943.848,-62.5022
4959.106,-58.4672
4974.365,-68.1016
4989.624,-56.6646
5004.883,-64.2975
5020.142,-81.2381
5035.4,-59.1745
5050.659,-76.3927
5065.918,-59.5576
5081.177,-65.965
5096.436,-54.7392
5111.694,-54.7809
5126.953,-67.4754
5142.212,-60.1617
5157.471,-60.6014
5172.729,-66.3678
5187.988,-64.5209
5203.247,-63.8308
5218.506,-64.5283
5233.765,-64.5799
