LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,1480
Segment,TrigTime,TimeSinceSegment1
#1,16-Jul-2010 17:24:56,0                 
Time,Ampl
0,-117.958
30.51758,-57.9171
61.03516,-52.0844
91.55273,-56.4141
122.0703,-47.5901
152.5879,-51.7111
183.1055,-60.8568
213.623,-62.1486
244.1406,-61.9963
274.6582,-54.9381
305.1758,-57.4038
335.6934,-50.186
366.2109,-64.7518
396.7285,-67.4508
427.2461,-65.4836
457.7637,-72.0654
488.2813,-62.0184
518.7988,-62.5931
549.3164,-56.1071
579.834,-60.8813
610.3516,-59.1401
640.8691,-55.2352
671.3867,-61.7016
701.9043,-60.0193
732.4219,-62.5882
762.9395,-59.2261
793.457,-80.8476
823.9746,-68.5658
854.4922,-60.4
885.0098,-62.8951
915.5273,-60.8519
946.0449,-62.959
976.5625,-59.5748
1007.08,-62.264
1037.598,-65.0318
1068.115,-62.6201
1098.633,-58.9117
1129.15,-60.1888
1159.668,-62.6054
1190.186,-60.0463
1220.703,-58.7914
1251.221,-66.466
1281.738,-57.529
1312.256,-61.2153
1342.773,-56.3502
1373.291,-63.654
1403.809,-61.6721
1434.326,-62.2026
1464.844,-71.1445
1495.361,-61.1883
1525.879,-61.8465
1556.396,-55.3826
1586.914,-62.6667
1617.432,-77.3799
1647.949,-62.8853
1678.467,-57.7034
1708.984,-60.4638
1739.502,-59.6657
1770.02,-66.5839
1800.537,-64.4129
1831.055,-61.9152
1861.572,-57.0354
1892.09,-57.6838
1922.607,-55.0437
1953.125,-60.1863
1983.643,-60.1961
2014.16,-58.5188
2044.678,-68.6861
2075.195,-60.7045
2105.713,-59.0345
2136.23,-57.8188
2166.748,-59.565
2197.266,-57.4603
2227.783,-58.2904
2258.301,-68.1335
2288.818,-61.7286
2319.336,-60.9599
2349.854,-62.1608
2380.371,-66.1124
2410.889,-76.2404
2441.406,-69.1405
2471.924,-69.5457
2502.441,-58.062
2532.959,-75.7419
2563.477,-60.9157
2593.994,-61.235
2624.512,-65.0514
2655.029,-58.2781
2685.547,-55.8492
2716.064,-62.6815
2746.582,-62.6839
2777.1,-58.4254
2807.617,-69.4573
2838.135,-63.7547
2868.652,-64.5848
2899.17,-67.1021
2929.688,-64.4399
2960.205,-61.7581
2990.723,-56.392
3021.24,-55.0265
3051.758,-59.3685
3082.275,-52.9734
3112.793,-58.1111
3143.311,-60.3091
3173.828,-60.6112
3204.346,-58.03
3234.863,-61.8784
3265.381,-59.8351
3295.898,-76.3902
3326.416,-62.4015
3356.934,-67.301
3387.451,-63.1506
3417.969,-67.721
3448.486,-57.8139
3479.004,-60.5105
3509.521,-65.4198
3540.039,-72.3135
3570.557,-58.0669
3601.074,-63.6466
3631.592,-60.3754
3662.109,-65.13
3692.627,-62.8927
3723.145,-64.4571
3753.662,-58.0276
3784.18,-65.5279
3814.697,-61.3921
3845.215,-56.8758
3875.732,-55.778
3906.25,-61.4118
3936.768,-57.8115
3967.285,-70.7908
3997.803,-64.3711
4028.32,-59.0591
4058.838,-58.644
4089.355,-70.0516
4119.873,-59.9923
4150.391,-58.0251
4180.908,-65.9969
4211.426,-61.7335
4241.943,-66.9719
4272.461,-53.9999
4302.979,-54.4567
4333.496,-56.8439
4364.014,-54.8963
4394.531,-60.9845
4425.049,-66.7165
4455.566,-59.6878
4486.084,-57.3522
4516.602,-65.4542
4547.119,-57.2515
4577.637,-59.091
4608.154,-61.2178
4638.672,-60.0635
4669.189,-69.639
4699.707,-61.1367
4730.225,-60.1961
4760.742,-57.9367
4791.26,-56.6204
4821.777,-57.3571
4852.295,-71.896
4882.813,-66.5004
4913.33,-57.7771
4943.848,-69.2411
4974.365,-60.0242
5004.883,-56.8439
5035.4,-65.6678
5065.918,-58.0693
5096.436,-67.8388
5126.953,-56.4779
