LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	156
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 14:53:57	0                 
Time	Ampl
0	-117.958
15.2588	-59.5307
30.5176	-59.0626
45.7764	-58.4326
61.0352	-56.4423
76.2939	-56.2192
91.5527	-48.8046
106.812	-48.6452
122.07	-55.3883
137.329	-58.337
152.588	-59.8126
167.847	-58.8199
183.105	-59.2635
198.364	-59.5528
213.623	-60.0013
228.882	-59.6288
244.141	-58.8371
259.399	-60.1092
274.658	-60.1876
289.917	-59.3616
305.176	-60.2955
320.435	-59.5136
335.693	-60.3102
350.952	-60.32
366.211	-61.6387
381.47	-60.9573
396.729	-60.3617
411.987	-59.5111
427.246	-62.4304
442.505	-60.4082
457.764	-61.048
473.022	-59.9327
488.281	-60.0626
503.54	-59.4596
518.799	-59.5503
534.058	-59.6949
549.316	-59.2341
564.575	-60.6411
579.834	-60.6877
595.093	-59.2317
610.352	-59.0062
625.61	-60.798
640.869	-60.0994
656.128	-60.4401
671.387	-60.8323
686.646	-61.0627
701.904	-59.9057
717.163	-60.5676
732.422	-60.4009
747.681	-61.1436
762.939	-60.668
778.198	-60.1141
793.457	-60.869
808.716	-61.3911
823.975	-60.2832
839.233	-60.1214
854.492	-59.7464
869.751	-60.2489
885.01	-59.9205
900.269	-59.8003
915.527	-60.3249
930.786	-60.521
946.045	-60.8347
961.304	-60.8298
976.563	-61.5897
991.821	-59.8935
1007.08	-59.6288
1022.34	-60.7146
1037.6	-60.8887
1052.86	-60.7171
1068.12	-61.1779
1083.37	-59.7489
1098.63	-59.7905
1113.89	-60.4989
1129.15	-60.1607
1144.41	-60.8568
1159.67	-61.2735
1174.93	-60.9303
1190.19	-60.369
1205.44	-60.5774
1220.7	-59.5675
1235.96	-61.2171
1251.22	-60.2685
1266.48	-60.3519
1281.74	-60.7857
1297	-60.7465
1312.26	-60.5087
1327.51	-59.8102
1342.77	-60.0798
1358.03	-61.0406
1373.29	-60.1313
1388.55	-61.4451
1403.81	-60.4303
1419.07	-60.6288
1434.33	-61.4892
1449.58	-60.3984
1464.84	-60.8004
1480.1	-60.4401
1495.36	-60.1288
1510.62	-61.7735
1525.88	-60.4523
1541.14	-60.7048
1556.4	-59.7538
1571.66	-60.9328
1586.91	-60.3322
1602.17	-60.3322
1617.43	-60.9646
1632.69	-59.869
1647.95	-60.2808
1663.21	-60.2391
1678.47	-59.9327
1693.73	-60.9475
1708.98	-60.4254
1724.24	-60.2759
1739.5	-60.8151
1754.76	-60.8298
1770.02	-60.8298
1785.28	-60.2219
1800.54	-60.4058
1815.8	-60.8494
1831.05	-60.4523
1846.31	-59.9156
1861.57	-59.1581
1876.83	-59.8959
1892.09	-60.0602
1907.35	-60.7906
1922.61	-60.2048
1937.87	-61.0308
1953.13	-60.1484
1968.38	-61.5995
1983.64	-60.7244
1998.9	-61.3323
2014.16	-60.6705
2029.42	-60.0798
2044.68	-60.9156
2059.94	-60.82
2075.2	-61.0235
2090.45	-61.6387
2105.71	-61.0088
2120.97	-60.4278
2136.23	-59.6043
2151.49	-60.3984
2166.75	-61.2097
2182.01	-60.3739
2197.27	-60.7122
2212.52	-60.0822
2227.78	-60.6779
2243.04	-60.8372
2258.3	-59.8592
2273.56	-60.8078
2288.82	-60.0479
2304.08	-60.4107
2319.34	-59.4033
2334.59	-61.5554
2349.85	-60.4376
2365.11	-60.244
